Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
tiger-eye-locketself-esteem-and-confidence,Tiger Eye Locket(self-esteem and confidence),,,published,http://localhost:9000/static/1773300187949-1-22.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773300187949-1-22.webp,
tiger-eye-natural-bracelet,Tiger Eye Natural Bracelet,,,published,http://localhost:9000/static/1773300370343-1-23.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773300370343-1-23.webp,
money-pyramid-selenite-charging-plate-combo,MONEY PYRAMID & SELENITE (CHARGING) PLATE COMBO,,,published,http://localhost:9000/static/1773300780960-4.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773300780960-4.webp,
pyrite-money-keychain-1-piece-assorted,PYRITE – MONEY KEYCHAIN ( 1 piece)- Assorted,,,published,http://localhost:9000/static/1773300823720-1-e1757322710183.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773300823720-1-e1757322710183.webp,
amethyst-natural-bracelett,Amethyst natural Bracelett,,,published,http://localhost:9000/static/1773300940495-2-21.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773300940495-2-21.webp,
rose-quartz-natural-bracelett,Rose Quartz natural Bracelett,,,published,http://localhost:9000/static/1773301107390-1-26.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773301107390-1-26.webp,
money-magnet,Money Magnet,,,published,http://localhost:9000/static/1773301175433-2-3.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773301175433-2-3.webp,
crystal-charger-selenite-plate,Crystal Charger – Selenite Plate,,,published,http://localhost:9000/static/1773301464931-1-27.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773301464931-1-27.webp,
rose-quartz-pyramid,Rose Quartz Pyramid,,,published,http://localhost:9000/static/1773301789385-3-3.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773301789385-3-3.webp,
black-obsidian-tumbles-negativity-evil-eye,BLACK OBSIDIAN TUMBLES (Negativity/ Evil Eye),,,published,http://localhost:9000/static/1773301824262-2-5.webp,,,,,,,,,,,sc_01KKB6VT2GA936E202BCVNT0DC,,,,,TRUE,,,Default Title,,,FALSE,TRUE,,,,,,,,,,Title,Default Title,http://localhost:9000/static/1773301824262-2-5.webp,
